budget,id,popularity,year,revenue,runtime,title,vote_average,vote_count
100000000,280,22.661695,1991,520000000,137,Terminator 2: Judgment Day,7.7,4274
100000000,374720,30.938854,2017,519876949,107,Dunkirk,7.5,2712
130000000,102899,26.882388,2015,519311965,117,Ant-Man,7,6029
80000000,693,11.876386,2004,516642939,115,Meet the Fockers,6.1,1412
22000000,251,11.945397,1990,505000000,127,Ghost,6.9,1381
28000000,812,16.357419,1992,504050219,90,Aladdin,7.4,3495
103000000,172385,8.18534,2014,500188435,102,Rio 2,6.3,997
125000000,295693,13.392824,2017,498814908,97,The Boss Baby,6.1,2336
175000000,652,15.387275,2004,497409852,163,Troy,6.9,2841
90000000,863,17.547693,1999,497366869,92,Toy Story 2,7.3,3914
165000000,10191,14.416681,2010,494878759,98,How to Train Your Dragon,7.5,4319
92000000,664,8.739144,1996,494471524,113,Twister,6.1,966
200000000,68728,11.137329,2013,491868548,130,Oz: The Great and Powerful,5.7,3576
90000000,46195,10.403228,2011,484635760,96,Rio,6.5,2213
80000000,310,15.947524,2003,484572835,101,Bruce Almighty,6.4,3121
60000000,808,17.987728,2001,484409218,90,Shrek,7.3,4183
93000000,61791,41.613762,2011,482860185,105,Rise of the Planet of the Apes,7,4452
70000000,857,21.758054,1998,481840909,169,Saving Private Ryan,7.9,5148
110000000,787,15.724373,2005,478207520,120,Mr. & Mrs. Smith,6.5,3048
125000000,98566,22.337973,2014,477200000,101,Teenage Mutant Ninja Turtles,5.8,2677
18000000,771,0.702543,1990,476684675,103,Home Alone,7.1,2487
150000000,118,22.038405,2005,474968763,115,Charlie and the Chocolate Factory,6.7,3759
48000000,89,14.788987,1989,474171806,127,Indiana Jones and the Last Crusade,7.6,3221
80000000,159824,11.760218,2015,473226958,89,Hotel Transylvania 2,6.7,1528
165000000,82690,13.697597,2012,471222889,108,Wreck-It Ralph,7.1,4656
7000000,578,19.726114,1975,470654000,124,Jaws,7.5,2628
110000000,254128,20.547925,2015,470490832,114,San Andreas,6,3017
60000000,137106,16.418133,2014,469160692,100,The Lego Movie,7.5,3127
190000000,54138,15.78129,2013,467365246,132,Star Trek Into Darkness,7.4,4479
63000000,603,33.366332,1999,463517383,136,The Matrix,7.9,9079
14000000,114,13.348451,1990,463000000,119,Pretty Woman,7,1807
120000000,920,18.907948,2006,461983149,117,Cars,6.6,3991
210000000,36668,0.867943,2006,459359555,104,X-Men: The Last Stand,6.3,3581
35000000,18785,23.947351,2009,459270619,100,The Hangover,7.2,6324
80000000,954,15.793477,1996,457696359,110,Mission: Impossible,6.7,2677
103000000,98,23.186667,2000,457640427,155,Gladiator,7.9,5566
130000000,6637,12.854373,2007,457363168,124,National Treasure: Book of Secrets,6.1,1782
140000000,616,19.582325,2003,456758981,154,The Last Samurai,7.3,1946
85000000,161,12.114932,2001,450717150,116,Ocean's Eleven,7.2,3857
150000000,10195,29.158489,2011,449326618,115,Thor,6.6,6678
140000000,676,11.419388,2001,449220945,183,Pearl Harbor,6.6,1833
150000000,37135,12.453452,1999,448000000,88,Tarzan,7.1,1715
30000000,313369,19.681686,2016,445435700,128,La La Land,7.9,4745
75000000,23398,9.909961,2009,443140005,88,Alvin and the Chipmunks: The Squeakquel,5.3,688
